year,return_pct,maxdd_pct,end_equity
2019,-6.44,16.84,9356.08
2020,72.00,14.93,16093.52
2021,31.07,20.59,21122.37
2022,-14.69,19.78,18070.45
2023,39.79,14.40,25272.74
2024,19.25,16.86,30803.43
2025,-2.05,11.64,30324.69
2026,-5.55,6.30,28675.91
